#temario;bloque;tema;id_pregunta;texto_pregunta;texto_respuesta;explicacion
Bombero Especialista C1, Comunidad de Madrid;Bloque I;Constitución I;const_001;¿En qué fecha fue aprobada la Constitución Española por las Cortes?;31 de octubre de 1978|6 de diciembre de 1978|27 de diciembre de 1978|29 de diciembre de 1978;La Constitución española fue aprobada por las Cortes en sesiones plenarias del Congreso de los Diputados y del Senado celebradas el 31 de octubre de 1978
Bombero Especialista C1, Comunidad de Madrid;Bloque I;Constitución I;const_002;¿En qué fecha fue ratificada la Constitución por el pueblo español en referéndum?;31 de octubre de 1978|6 de diciembre de 1978|27 de diciembre de 1978|29 de diciembre de 1978;La Constitución fue ratificada por el pueblo español en referéndum de 6 de diciembre de 1978
Bombero Especialista C1, Comunidad de Madrid;Bloque I;Constitución I;const_003;¿En qué fecha fue sancionada la Constitución por el Rey?;31 de octubre de 1978|6 de diciembre de 1978|27 de diciembre de 1978|29 de diciembre de 1978;La Constitución fue sancionada por el Rey ante las Cortes el 27 de diciembre de 1978
Bombero Especialista C1, Comunidad de Madrid;Bloque I;Constitución I;const_004;Según el artículo 1.1, ¿cuáles son los valores superiores del ordenamiento jurídico español?;Libertad, justicia, igualdad y pluralismo político|Libertad, democracia, justicia e igualdad|Justicia, igualdad, solidaridad y libertad|Democracia, libertad, justicia y pluralismo;España propugna como valores superiores de su ordenamiento jurídico la libertad, la justicia, la igualdad y el pluralismo político
Bombero Especialista C1, Comunidad de Madrid;Bloque I;Constitución I;const_005;¿En quién reside la soberanía nacional según el artículo 1.2?;En las Cortes Generales|En el pueblo español|En el Rey|En el Gobierno;La soberanía nacional reside en el pueblo español del que emanan los poderes del Estado
Bombero Especialista C1, Comunidad de Madrid;Bloque I;Constitución I;const_006;¿Cuál es la forma política del Estado español según el artículo 1.3?;República parlamentaria|Monarquía absoluta|Monarquía parlamentaria|Estado federal;La forma política del Estado español es la Monarquía parlamentaria
Bombero Especialista C1, Comunidad de Madrid;Bloque I;Constitución I;const_007;Según el artículo 2, ¿en qué se fundamenta la Constitución?;En la soberanía popular|En la indisoluble unidad de la Nación española|En los derechos fundamentales|En la separación de poderes;La Constitución se fundamenta en la indisoluble unidad de la Nación española, patria común e indivisible de todos los españoles
Bombero Especialista C1, Comunidad de Madrid;Bloque I;Constitución I;const_008;¿Cuál es la lengua española oficial del Estado según el artículo 3.1?;El español|El castellano|El catalán|Todas las lenguas cooficiales;El castellano es la lengua española oficial del Estado
Bombero Especialista C1, Comunidad de Madrid;Bloque I;Constitución I;const_009;¿Qué obligación tienen todos los españoles respecto al castellano?;Deber de conocerla y derecho a usarla|Solo deber de conocerla|Solo derecho a usarla|Deber de enseñarla;Todos los españoles tienen el deber de conocerla y el derecho a usarla
Bombero Especialista C1, Comunidad de Madrid;Bloque I;Constitución I;const_010;¿Cómo está formada la bandera de España según el artículo 4.1?;Tres franjas horizontales: roja, amarilla y roja|Tres franjas verticales: roja, amarilla y roja|Dos franjas: roja y amarilla|Cuatro franjas: roja, amarilla, roja y amarilla;La bandera de España está formada por tres franjas horizontales, roja, amarilla y roja, siendo la amarilla de doble anchura que cada una de las rojas
Bombero Especialista C1, Comunidad de Madrid;Bloque I;Constitución I;const_011;¿Cuál es la capital del Estado según el artículo 5?;Barcelona|Sevilla|Madrid|Valencia;La capital del Estado es la villa de Madrid
Bombero Especialista C1, Comunidad de Madrid;Bloque I;Constitución I;const_012;Según el artículo 6, ¿qué expresan los partidos políticos?;La voluntad del Gobierno|El pluralismo político|La soberanía nacional|Los intereses económicos;Los partidos políticos expresan el pluralismo político
Bombero Especialista C1, Comunidad de Madrid;Bloque I;Constitución I;const_013;¿Qué requisito establece el artículo 6 para la estructura interna de los partidos políticos?;Debe ser democrática|Debe ser jerárquica|Debe ser federal|Debe ser centralizada;Su estructura interna y funcionamiento deberán ser democráticos
Bombero Especialista C1, Comunidad de Madrid;Bloque I;Constitución I;const_014;¿Cuáles son las tres ramas de las Fuerzas Armadas según el artículo 8.1?;Ejército, Marina y Aviación|Ejército de Tierra, Armada y Ejército del Aire|Infantería, Caballería y Artillería|Guardia Civil, Policía Nacional y Ejército;Las Fuerzas Armadas están constituidas por el Ejército de Tierra, la Armada y el Ejército del Aire
Bombero Especialista C1, Comunidad de Madrid;Bloque I;Constitución I;const_015;¿Cuál es la misión de las Fuerzas Armadas según el artículo 8.1?;Mantener el orden público|Garantizar la soberanía e independencia de España|Proteger al Gobierno|Defender los intereses económicos;Tienen como misión garantizar la soberanía e independencia de España, defender su integridad territorial y el ordenamiento constitucional
Bombero Especialista C1, Comunidad de Madrid;Bloque I;Constitución I;const_016;¿Qué principio garantiza el artículo 9.3 de la Constitución?;Principio de legalidad|Principio de oportunidad|Principio de eficacia|Principio de subsidiariedad;La Constitución garantiza el principio de legalidad, entre otros
Bombero Especialista C1, Comunidad de Madrid;Bloque I;Constitución I;const_017;¿Qué prohíbe el artículo 9.3 respecto a los poderes públicos?;La arbitrariedad|La eficiencia|La transparencia|La participación;La Constitución garantiza la interdicción de la arbitrariedad de los poderes públicos
Bombero Especialista C1, Comunidad de Madrid;Bloque I;Constitución I;const_018;¿Qué es fundamento del orden político según el artículo 10.1?;La soberanía popular|La dignidad de la persona|La separación de poderes|El pluralismo político;La dignidad de la persona, los derechos inviolables que le son inherentes, el libre desarrollo de la personalidad, el respeto a la ley y a los derechos de los demás son fundamento del orden político y de la paz social
Bombero Especialista C1, Comunidad de Madrid;Bloque I;Constitución I;const_019;¿A qué edad son mayores de edad los españoles según el artículo 12?;16 años|17 años|18 años|21 años;Los españoles son mayores de edad a los dieciocho años
Bombero Especialista C1, Comunidad de Madrid;Bloque I;Constitución I;const_020;¿Puede un español de origen ser privado de su nacionalidad según el artículo 11.2?;Sí, en casos excepcionales|Sí, por decisión judicial|No, en ningún caso|Sí, por decisión del Gobierno;Ningún español de origen podrá ser privado de su nacionalidad
Bombero Especialista C1, Comunidad de Madrid;Bloque I;Constitución I;const_021;¿Qué establece el artículo 14 sobre la igualdad?;Igualdad ante la ley|Igualdad económica|Igualdad de oportunidades|Igualdad social;Los españoles son iguales ante la ley, sin que pueda prevalecer discriminación alguna por razón de nacimiento, raza, sexo, religión, opinión o cualquier otra condición o circunstancia personal o social
Bombero Especialista C1, Comunidad de Madrid;Bloque I;Constitución I;const_022;¿Qué derecho reconoce el artículo 15?;Derecho a la vida|Derecho a la libertad|Derecho a la propiedad|Derecho al trabajo;Todos tienen derecho a la vida y a la integridad física y moral
Bombero Especialista C1, Comunidad de Madrid;Bloque I;Constitución I;const_023;¿Qué queda abolido según el artículo 15?;La tortura|La pena de muerte|Los tratos inhumanos|Las penas degradantes;Queda abolida la pena de muerte, salvo lo que puedan disponer las leyes penales militares para tiempos de guerra
Bombero Especialista C1, Comunidad de Madrid;Bloque I;Constitución I;const_024;¿Qué garantiza el artículo 16.1?;Libertad de expresión|Libertad ideológica, religiosa y de culto|Libertad de asociación|Libertad de circulación;Se garantiza la libertad ideológica, religiosa y de culto de los individuos y las comunidades
Bombero Especialista C1, Comunidad de Madrid;Bloque I;Constitución I;const_025;¿Puede alguien ser obligado a declarar sobre su religión según el artículo 16.2?;Sí, siempre|Sí, en casos judiciales|No, nunca|Sí, en casos administrativos;Nadie podrá ser obligado a declarar sobre su ideología, religión o creencias
Bombero Especialista C1, Comunidad de Madrid;Bloque I;Constitución I;const_026;¿Cuál es el plazo máximo de detención preventiva según el artículo 17.2?;48 horas|72 horas|96 horas|5 días;En el plazo máximo de setenta y dos horas, el detenido deberá ser puesto en libertad o a disposición de la autoridad judicial
